file	formula	svnrevision
1000007	- Ca Mg O6 Si2 -	176435
1000017	- Al2 O3 -	201954
1000022	- Ca O3 Ti -	130149
1000030	- Ba2 Cu3 O6.9 Y -	130149
1000031	- Ba2 Cu4 O8 Y -	198383
1000032	- Al2 O3 -	202022
1000034	- Al2 Ca O8 Si2 -	130149
1000035	- Al0.34 Ca0.6 Fe0.2 Mg0.9 Na0.1 O6 Si1.82 -	176435
1000039	- Al6 Ca9 O18 -	130149
1000040	- Al0.6 Ca2 Fe1.4 O5 -	176435
1000044	- Ca O -	202026
1000047	- Mg2 O6 Si2 -	130149
1000048	- Al2 Ca2 O7 Si -	130149
1000053	- Mg O -	202026
1000058	- O2 Ru -	201954
1000059	- Al2 O3 -	202026
1000060	- Al2 O5 Ti -	130149
1000062	- O2 Sn -	130149
1000063	- Cu2 O -	202026
1000064	- Fe2 O4 Si -	205142
1000066	- Ba2 Cu2.5 O7 Pd0.5 Y -	176435
1000068	- Li Nb O6 W -	130149
1000069	- Li Nb O6 W -	130149
1000070	- Li Nb O6 W -	176729
1000071	- Ba2 O3 Pd -	130149
1000094	- Ni O6 V2 -	130149
1000116	- O5 Tl0.5 V2 -	176435
1000117	- Cu2 Li3 O4 -	130149
1000123	- Fe4 Mo3.02 O20 V1.98 -	130149
1000124	- Fe Mo O7 V -	130149
1000134	- Ba Hg O5 Ru -	130149
1000194	- Ca3 Mn3 O8.02 -	130149
1000233	- Ba Cu Fe O5 Y -	130149
1000234	- Ba2 Cu2.5 O7 Pd0.5 Y -	176435
1000242	- Ba O5 Pd Y2 -	130149
1000250	- La1.9 Ni O3.93 -	130149
1000251	- Cu Li O4 V -	130149
1000255	- O8 Tl V3 -	130149
1000264	- Cu0.9 La2 Li0.1 O3.97 -	176435
1000265	- Cu0.85 La2 Li0.15 O3.97 -	176435
1000266	- Cu0.75 La2 Li0.25 O3.98 -	176435
1000267	- Cu0.54 La2 Li0.46 O4 -	176435
1000268	- Cu0.5 La2 Li0.5 O4 -	176435
1000270	- Mo10 O34 Tl8 -	130149
1000284	- Ba2 Cu O8 Pt Y2 -	130149
1000287	- Cs4 Nb2 O23 Si8 -	130149
1000290	- Ni O3 Pr -	130149
1000291	- Ni O3 Pr -	130149
1000292	- Ni O3 Pr -	130149
1000293	- Ni O3 Pr -	176729
1000294	- Ni O3 Pr -	176729
1000301	- Ni O3 Pr -	130149
1000302	- Ni O3 Pr -	130149
1000303	- Nd Ni O3 -	130149
1000304	- Ni O3 Sm -	130149
1000307	- La Ni O3 -	176729
1000308	- La Ni O3 -	176729
1000309	- La Ni O3 -	176729
1000310	- La Ni O3 -	176729
1000311	- Ni O3 Pr -	130149
1000312	- Ni O3 Pr -	130149
1000313	- Ni O3 Pr -	130149
1000314	- Ni O3 Pr -	130149
1000315	- Nd Ni O3 -	130149
1000316	- Nd Ni O3 -	130149
1000317	- Nd Ni O3 -	130149
1000318	- Nd Ni O3 -	130149
1000339	- K2 Nb2 O14 Si4 -	130149
1000346	- Cu3 Fe4 O24 V6 -	130149
1000347	- Nd4 Ni3 O8 -	130149
1000354	- Cu6 Fe0.9 O19 V6 -	176435
1000357	- Ca0.5 Cu2 Hg0.4 O7 Pr1.1 Sr2 -	176435
1000369	- Ba3 Cu2 Hg O10 Sr Tl2 -	130149
1000379	- Ca O4 Tl2 -	130149
1000380	- Ca1.88 O5 Tl2.12 -	130149
1000381	- Nb2 O6.07 Tl2 -	176729
1000382	- Nb2 O6.271 Tl2 -	176729
1000383	- Nb2 O6.43 Tl2 -	176729
1000384	- Nb2 O6.49 Tl2 -	176729
1000385	- Nb2 O6.588 Tl2 -	176729
1000386	- Nb2 O6.648 Tl2 -	176729
1000387	- Nb2 O7 Tl2 -	176729
1000388	- Ca2.8 O6 Tl2.2 -	130149
1000396	- O8 W2 Zr -	130149
1000414	- La2 Ni O4 -	176729
1000415	- Ba2 Cu2.2 Hg1.5 O8 Pr1.3 -	130149
1000416	- Ca3.06 O9 Tl3.94 -	130149
1000423	- Cs2 O15 Si6 Zr -	130149
1000428	- Ba0.86 Ca2 In6 O12 -	176435
1000429	- Ba0.83 Ca2.1 In6 O12 -	176435
1000431	- Fe2 O13 V4 -	130149
1000432	- Fe Li O4 Sn -	130149
1000433	- Fe0.75 Li1.417 O4 Sn1.083 -	176435
1000434	- Fe Li O4 Sn -	130149
1000436	- La0.597 Li0.21 O3 Ti -	176435
1000437	- La0.557 Li0.33 O3 Ti -	176435
1000438	- La0.587 Li0.24 O3 Ti -	176435
1000442	- Al2 O3 -	202026
1000469	- Cs8 Nb10 O41 Si6 -	130149
1000482	- La2 O5 Pd2 -	130149
1000483	- La2 O4 Pd -	130149
1000484	- La4 O7 Pd -	130149
1000500	- La7 Mo7 O30 -	176729
1000501	- La7 Mo7 O30 -	176729
1000502	- B2 Gd2 Na2 O7 -	130149
1000503	- La2.25 Li2 Nb1.25 O13 Ti2.75 -	130149
1001001	- Ge4 O9 Rb2 -	130149
1001002	- Ge3 O9 Rb2 Ti -	130149
1001004	- B2 Nb O6 Rb -	130149
1001007	- B2 K3 Nb3 O12 -	130149
1001008	- B2 K3 Nb3 O12 -	130149
1001009	- Nb2 O6 Pb -	130149
1001010	- Nb3.09 O8.22 Tl -	130149
1001013	- Nb6 O18 Rb2 Ti -	130149
1001014	- O18 Rb2 Ta6 Ti -	130149
1001015	- Cs2 Nb6 O18 Ti -	130149
1001016	- Cs2 O18 Ta6 Ti -	130149
1001017	- Nb30 O90 Rb12 W3 -	176729
1001020	- O3 Rb0.28 W -	176435
1001021	- O3 Tl0.3 W -	176435
1001022	- La2 O7 Ti2 -	130149
1001024	- B2 Nb O6 Tl -	130149
1001026	- O78 Rb10 Ta29.2 -	130149
1001027	- K3 Nb8 O21 -	130149
1001028	- K3 Nb7 O21 Ti -	130149
1001029	- Ba3 Nb4 O21 Ti4 -	130149
1001030	- Na2 O6 Ta2 -	176729
1001032	- Nb2 O6 Pb -	130149
1001036	- Ba Ge0.5 O5 Si1.5 -	176435
1001037	- Nb7 O18.25 Tl0.96 -	176435
1001039	- In0.17 O3 W -	176435
1001040	- In0.15 O3 W -	176435
1001041	- In0.18 O3 W -	176435
1001042	- In0.21 O3 W -	176435
1001043	- In0.24 O3 W -	176435
1001044	- In0.28 O3 W -	176435
1001045	- In0.3 O3 W -	199855
1001046	- In0.31 O3 W -	176435
1001048	- Cd O3 Pb -	130149
1001049	- Fe2.8 O4 Sn0.2 -	176435
1001050	- Fe2.6 O4 Sn0.4 -	176435
1001051	- Fe2.5 O4 Sn0.5 -	176435
1001052	- Nb1.34 O6.67 Pb2 Ti0.66 -	176435
1001053	- Cr O6 Ta2 -	176729
1001054	- Ba Co0.5 O3 Ta0.5 -	176435
1001055	- Gd0.29 O3 Ta0.87 W0.13 -	176435
1001056	- Gd0.07 O3 Ta0.21 W0.79 -	176435
1001057	- O6 Ta1.75 Tl1.75 W0.25 -	176435
1001065	- Ba Ge2.5 O9 Si1.5 -	130149
1001066	- Ba Ge3.125 O9 Si0.875 -	176435
1001072	- Ca0.3333 Nb0.6667 O3 Sr -	176435
1001073	- Mo3 Nd5 O16 -	176729
1001074	- Ge3 K O9 Ta -	130149
1001075	- Ge3 O9 Rb Ta -	130149
1001076	- Ge3 Nb O9 Rb -	130149
1001077	- Ge3 O9 Ta Tl -	130149
1001078	- Ba Ge3 O9 Sn -	130149
1001079	- O46 Sn10 W16 -	130149
1001080	- O13 Tl2 W4 -	130149
1001081	- K Nb O5 Ti -	130149
1001082	- K0.85 Nb1.15 O5 Ti0.85 -	176435
1001083	- Nb O5 Rb Ti -	130149
1001084	- Nb1.15 O5 Rb0.85 Ti0.85 -	176435
1001085	- Nb O5 Ti Tl -	130149
1001086	- Nb1.1 O5 Ti0.9 Tl0.9 -	176435
1001087	- K O5 Ta Ti -	130149
1001088	- O5 Rb Ta Ti -	130149
1001091	- Cr O6 Ta2 -	130149
1001093	- O6 Pb2 Sn2 -	176729
1001094	- Ba2 Fe O6 U -	130149
1001095	- Ba2 Cr O6 U -	130149
1001096	- O8 Re Y3 -	130149
1001097	- Ba2.4 Cu1.8 La3.6 O9.6 -	130149
1001098	- Li1.333 O4 Ti1.667 -	176729
1001099	- Li1.2 O4 Ti1.8 -	176729
1001100	- Li O4 Ti2 -	176729
1001101	- Li1.1 O4 Ti1.9 -	176729
1001102	- Ba3 O26 Si4 Ta6 -	130149
1001103	- O26 Si4 Sr3 Ta6 -	120071
1001104	- K6 O26 Si4 Ta6 -	130149
1001105	- K6 Nb6 O26 Si4 -	130149
1001106	- K3 Nb O14 Ti5 -	130149
1001107	- K3 O14 Ta Ti5 -	130149
1001108	- Nb O14 Rb3 Ti5 -	130149
1001111	- K2 O9 Si3 Ti -	130149
1001112	- O9 Rb2 Si3 Ti -	130149
1001113	- K2 O9 Si3 Sn -	130149
1001114	- O9 Rb2 Si3 Sn -	130149
1001115	- Ge3 O9 Ti Tl2 -	130149
1001116	- Cs2 Ge3 O9 Ti -	130149
1001117	- Cs2 Ge3 O9 Sn -	130149
1001118	- Ge3 K2 O9 Ti -	130149
1001119	- Ge3 O9 Rb2 Ti -	130149
1001120	- Ge3 K2 O9 Sn -	130149
1001121	- Ge3 O9 Rb2 Sn -	130149
1001122	- Ge3 O9 Sn Tl2 -	130149
1001123	- O3 Ta0.18 W0.82 Y0.06 -	176435
1001124	- O3 Ta0.72 W0.28 Y0.24 -	176435
1001125	- O3 Ta0.9 W0.1 Y0.3 -	176435
1001128	- Ba2 Mn O6 U -	130149
1001129	- K0.8 Mg0.4 O4 Ti1.6 -	176435
1001130	- K0.8 O4 Ti1.6 Zn0.4 -	176435
1001131	- Cs Nb O7 Ti2 -	130149
1001132	- Ba2 Mg O6 U -	130149
